Gene_names	Protein_names	Uniprot_IDs	logFC_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Ratio_H_L_count_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_ES_vs_FM_ATG9A Immunoisolation_intensity_filtered	Intensity_Mix_CTRL IgM Immunoisolation	PEP
SLC12A4;SLC12A6;DKFZp686O1827	Solute carrier family 12 member 4;Solute carrier f	Q9UP95;B4DF30;B4DZ82;B7ZAV0;F5H0S9;B4DR04;F5H066;F5H3C0;B4DF69;I3L4N6;A8K935;Q9UHW9;Q6NSI7;B3KXX3;Q3ZCQ6;H0YKQ8;H0YMQ9;Q5HYC7;Q6XSF4;Q9H2X9;A8K143;B7Z3I0;B7Z1X6;Q9Y666;H0YB78;B3KUS0	-1.01	9	7.909	0	0
STX5	Syntaxin-5	Q13190;F8W8Q9;B4DKR0;H7C3X5;E9PNU4	-1.025	2	7.299	0	0
ENPP7;ENPP4	Ectonucleotide pyrophosphatase/phosphodiesterase f	Q6UWV6;Q9Y6X5	-1.035	1	6.389	0	0.00125
TMED1	Transmembrane emp24 domain-containing protein 1	Q13445	-1.053	2	7.542	0	0
SPRYD7	SPRY domain-containing protein 7	B2RE68;Q5W111	-1.059	2	7.676	0	0
RAB32;RAB38;RAB7L1	Ras-related protein Rab-32;Ras-related protein Rab	B2R5I8;Q13637;Q7Z4W7;P57729;B2R7I9;O14966;Q53EX5;Q6FGU7	-1.062	1	6.571	0	0.00102
NCSTN	Nicastrin	Q5T208;Q92542;B4DJN0;E7ENA9;E9PC09;B4DR82;F6Y097;H0Y3Z4;Q5T206;H0Y6T7;Q5T204;Q5T205	-1.068	3	7.139	0	0
MGAT2	"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglu"	B4DDK9;B3KQM0;Q10469	-1.07	4	7.79	0	0
KDELR1;KDELR2	ER lumen protein retaining receptor 1;ER lumen pro	P24390;P33947;Q96H29;Q8NBW7	-1.073	1	7.985	0	0
SDF4	45 kDa calcium-binding protein	Q9BRK5;G3V1E2;H0Y3T6;B1AME7	-1.075	2	7.469	0	0
TMEM87B	Transmembrane protein 87B	Q96K49;H7C0B3;H7C1G1	-1.088	2	7.383	0	0
RABAC1	Prenylated Rab acceptor protein 1	Q9UI14	-1.101	2	7.814	0	0
MOB4	MOB-like protein phocein	Q9Y3A3;A8K012;B4DM50	-1.11	4	7.958	0	0
TMED9	Transmembrane emp24 domain-containing protein 9	Q9BVK6;B2R8A2	-1.113	3	8.474	0	0
STRN3		A0AV58	-1.133	1	7.236	0	0
YWHAH	14-3-3 protein eta	Q04917	-1.133	1	6.951	0	0
C19orf42	UPF0608 protein C19orf42	B7WNH4;Q9BQ49;E9PLH2;E9PNA8;E9PP42	-1.139	1	7.31	0	0
GANAB;B3GAT3	Galactosylgalactosylxylosylprotein 3-beta-glucuron	Q9BS14;Q5U676;O94766;G3V150;B4DNL8;B7ZAB3;E9PNA1	-1.173	1	7.326	0	0
TMED2;RNP24	Transmembrane emp24 domain-containing protein 2	Q15363;Q6FHT8;B4DP27;E7EQ72;B4E020;F6QWA0;F5GX39	-1.196	2	7.978	0	0
ERGIC3	Endoplasmic reticulum-Golgi intermediate compartme	E9PFA8;H0Y5K5;Q5JWS0;H7BXI5;A2TJK5;Q9Y282;H0Y621;A6PVJ3;B4DV36;H7BY06;O95330;H0Y6Z0;Q5JWS2;H0Y802;Q5JWS1;A6PVJ2	-1.199	8	8.104	0	0
MANEA	"Glycoprotein endo-alpha-1,2-mannosidase"	Q5SRI9;Q8WWX4;F5H0Y8	-1.209	3	7.782	0	0
GOLGA5	Golgin subfamily A member 5	A8KAL2;Q8TBA6;B4E1D4;E7EQP0;H0YK03	-1.237	9	7.953	0	0
AP2A1;AP2A2	AP-2 complex subunit alpha-1;AP-2 complex subunit 	O95782;O94973;B7Z5S9;E7ESQ4;B7Z1Q4;E9PJJ7;C9J1S3;Q8N9K4;B4DXJ6	-1.256	2	7.004	0	0
GPR107	Protein GPR107	Q5VW38;G5E994;A8KAM7;B7ZL93	-1.282	3	7.429	0	0
TMED10	Transmembrane emp24 domain-containing protein 10	Q53GF9;P49755;B4DL12;G3V2K7;B4DZH3	-1.291	6	8.668	0	0
KIAA0319L	Dyslexia-associated protein KIAA0319-like protein	B2RBC8;Q8IZA0;B1AN14;E7EN73;B1AN15;Q9H9L2;C9J519;H0Y4S8;B1AP96	-1.319	8	7.684	0	0
STRN	Striatin	O43815;Q3B874	-1.354	2	7.086	0	0
SLC38A2	Sodium-coupled neutral amino acid transporter 2	A8K6H9;Q96QD8;B4DEZ2;F8VQW8;F8VUY8	-1.368	6	8.28	0	0
CYB5R3	NADH-cytochrome b5 reductase 3;NADH-cytochrome b5 	P00387;Q6ZVI6;B1AHF3;F8WCX7	-1.377	2	7.993	0	0
GALNT16;GALNTL1;GalNAc-T16	Putative polypeptide N-acetylgalactosaminyltransfe	Q68VJ8;Q8N428;Q58A55	-1.383	1	6.665	0	0.00014
TIRAP3;TMED7;TMED7-TICAM2	Transmembrane emp24 domain-containing protein 7	Q6JUT2;Q9Y3B3;Q8NBU8;B4E2C1;Q3B7W7;G3V2Y2	-1.386	4	8.222	0	0
TMED4	Transmembrane emp24 domain-containing protein 4	Q7Z7H5;C9JUN6;F8W7F7	-1.393	3	8.138	0	0
NUCB2;Nucb2	Nucleobindin-2	D3DQX5;P80303;E9PKG6;Q2L696;E9PLE9;E9PLR0;E9PM22;H0YD18;A7LNF3;A7LNF4;A7LNF5;E9PJP3	-1.541	3	7.493	0	0
SEC22A	Vesicle-trafficking protein SEC22a	Q96IW7;C9JNZ0;C9JRY4	-1.562	1	7.064	0	0
MESDC2	LDLR chaperone MESD	Q14696	-1.592	1	6.873	0	0
NUCB1	Nucleobindin-1	A8K7Q1;Q02818;Q53GX6;B4DZX0;H7BZI1;C9JKZ2;Q96BA4;B3KUR6	-1.743	3	7.397	0	0
SLC6A15;DKFZp761I0921	Sodium-dependent neutral amino acid transporter B(	Q9H2J7;Q68CX0;Q8TBM6;F8VSG1	-1.747	1	7.031	0	0
RHOA;RHOC;ARHA	Transforming protein RhoA;Rho-related GTP-binding 	P61586;B4DKN9;E9PN11;P08134;Q5JR08;Q5JR05;C9JX21;E9PQH6;C9JNR4;Q5JR07;Q9BVT0;Q5JR06;C9JRM1;C9J1T2;E9PLA2;P62745	-1.935	2	8.301	0	0
IGJ	Immunoglobulin J chain	P01591;D6RD17;D6RHJ6	-2.43	1	7.955	0	0.00047
DKFZp686M08189		Q6MZX9;A2IPH7	-4.652	8	9.714	0	0
IGK@;IGKC	Ig kappa chain C region	Q8TCD0;Q6GMX0;Q6P5S8;Q6PIL8;Q7Z3Y4;Q6PJF2;Q5EFE6;Q0KKI6;P01834	-6.022	3	9.117	0	0
							
							
							
							
							
							
							
